"","author","studyID","treatment","responders","sampleSize","age","child","young","adult","elder","X.female.1.","ethnic.asian.","asian","middle.east","hispanic","white","black","condition.not.at.risk.","not.at.risk","chronic.dis","immuno","variant.wildtype.","alpha","beta","gamma","delta","omicron","subgroup","ROB.low.","moderate","critical","outcome","vac_product","study.type","study"
"224","Heath, 2021",160,1,87,5062,"18-64yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Heath, 2021-160"
"225","Heath, 2021",161,1,9,1957,"=65-84yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Heath, 2021-161"
"226","Heath, 2021",162,1,85,6635,"all","all","all","all","all","all","white",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Heath, 2021-162"
"227","Heath, 2021",163,1,8,297,"all","all","all","all","all","all","other",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Heath, 2021-163"
"228","Heath, 2021",164,1,28,7020,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","non-alpha",NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Heath, 2021-164"
"229","Heath, 2021",165,1,58,7020,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","subgroup",NA,NA,NA,"symp","placebo","RCT","Heath, 2021-165"
"230","Heath, 2021",166,1,33,3143,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"at-risk","0","1","1",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Heath, 2021-166"
"231","Heath, 2021",167,1,63,3876,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"not-at-risk","1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Heath, 2021-167"
"232","Palacios, 2021",237,1,219,5714,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"symp","placebo","RCT","Palacios, 2021-237"
"233","Palacios, 2021",238,1,168,4870,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"symp","placebo","RCT","Palacios, 2021-238"
"234","Palacios, 2021",239,1,6,3587,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"severe","placebo","RCT","Palacios, 2021-239"
"235","Palacios, 2021",240,1,164,4663,"18-59yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Palacios, 2021-240"
"236","Palacios, 2021",241,1,4,207,"=60yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Palacios, 2021-241"
"237","Polack, 2020",242,1,47,4581,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-242"
"238","Polack, 2020",243,1,47,4581,"16-55yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-243"
"239","Polack, 2020",244,1,47,4581,">55yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-244"
"240","Polack, 2020",245,1,47,4581,"=65yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-245"
"241","Polack, 2020",246,1,47,4581,"=75yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-246"
"242","Polack, 2020",247,1,81,18325,"all","all","all","all","all","0",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-247"
"243","Polack, 2020",248,1,81,18325,"all","all","all","all","all","1",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-248"
"244","Polack, 2020",249,1,61,2291,"all","all","all","all","all","all","white",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-249"
"245","Polack, 2020",250,1,61,2291,"all","all","all","all","all","all","black",0,0,0,0,1,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-250"
"246","Polack, 2020",251,1,61,2291,"all","all","all","all","all","all","other",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-251"
"247","Polack, 2020",252,1,61,2291,"all","all","all","all","all","all","hispanic",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-252"
"248","Polack, 2020",253,1,61,2291,"all","all","all","all","all","all","non-hispanic",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-253"
"249","Polack, 2020",254,1,61,2291,"all","all","all","all","all","all","argentinian",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-254"
"250","Polack, 2020",255,1,61,2291,"all","all","all","all","all","all","brazilian",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-255"
"251","Polack, 2020",256,1,61,2291,"all","all","all","all","all","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Polack, 2020-256"
"252","Polack, 2020",257,1,13,21686,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"severe","placebo","RCT","Polack, 2020-257"
"253","Sadoff, 2021",280,1,320,19544,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"symp","placebo","RCT","Sadoff, 2021-280"
"254","Sadoff, 2021",281,1,317,19544,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2021-281"
"255","Sadoff, 2021",282,1,130,9772,"18-59yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2021-282"
"256","Sadoff, 2021",283,1,46,9772,"=60yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2021-283"
"257","Sadoff, 2021",284,1,345,19544,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"doc-infect","placebo","RCT","Sadoff, 2021-284"
"258","Sadoff, 2021",285,1,147,4886,"all","all","all","all","all","all","worldwide",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2021-285"
"259","Sadoff, 2021",286,1,54,4886,"all","all","all","all","all","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2021-286"
"260","Sadoff, 2021",287,1,31,4886,"all","all","all","all","all","all","brazilian",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2021-287"
"261","Sadoff, 2021",288,1,30,4886,"all","all","all","all","all","all","south african",0,0,0,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2021-288"
"262","Sadoff, 2022",289,1,1067,19398,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","Any SARS-COV-2","all","all","all","all","all","overall",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2022-289"
"263","Sadoff, 2022",290,1,10,6466,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","subgroup",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2022-290"
"264","Sadoff, 2022",291,1,19,6466,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","beta","0","1","0","0","0","subgroup",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2022-291"
"265","Sadoff, 2022",292,1,4,6466,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","subgroup",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2022-292"
"266","Sadoff, 2022",293,1,37,6466,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","gamma","0","0","1","0","0","subgroup",NA,NA,NA,"severe","placebo","RCT","Sadoff, 2022-293"
"267","Tanriover, 2021",304,1,32,3568,"all","all","all","all","all","all","Turkish",0,1,0,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","placebo","RCT","Tanriover, 2021-304"
"268","Voysey, 2021a",329,1,62,3064,"all","all","all","all","all","all","UK",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","placebo","RCT","Voysey, 2021a-329"
"269","Voysey, 2021a",330,1,79,3233,"all","all","all","all","all","all","brazilian",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","placebo","RCT","Voysey, 2021a-330"
"270","Voysey, 2021a",331,1,146,6297,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","placebo","RCT","Voysey, 2021a-331"
"271","Voysey, 2021a",332,1,38,2430,"all","all","all","all","all","all","UK",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","placebo","RCT","Voysey, 2021a-332"
"272","Voysey, 2021a",333,1,33,2025,"all","all","all","all","all","all","brazilian",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","placebo","RCT","Voysey, 2021a-333"
"273","Voysey, 2021a",334,1,62,5829,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","placebo","RCT","Voysey, 2021a-334"
"274","Voysey, 2021a",335,1,30,1536,"18-55yr","0","0","1","0","all","UK",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Voysey, 2021a-335"
"275","Voysey, 2021b",336,1,165,5721,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","placebo","RCT","Voysey, 2021b-336"
"276","Voysey, 2021b",337,1,140,4239,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","placebo","RCT","Voysey, 2021b-337"
"277","Voysey, 2021b",338,1,51,1973,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","placebo","RCT","Voysey, 2021b-338"
"278","Walter, 2022",339,1,16,750,"5-11yr","1","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","placebo","RCT","Walter, 2022-339"
"279","Emary,2021",372,1,40,4290,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"symp","placebo","RCT","Emary,2021-372"
"280","Emary,2021",373,1,11,4290,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"doc-infect","placebo","RCT","Emary,2021-373"
"281","Abu Raddad, 2021",1,2,50,515,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"doc-infect","2BNT","CC","Abu Raddad, 2021-1"
"282","Abu Raddad, 2021",2,2,179,877,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","beta","0","1","0","0","0","",NA,NA,NA,"doc-infect","2BNT","CC","Abu Raddad, 2021-2"
"283","Andrews, 2021",9,2,72,70419,"18-49yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","2BNT","CC","Andrews, 2021-9"
"284","Andrews, 2021",10,2,424,36517,">=50yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","2BNT","CC","Andrews, 2021-10"
"285","Andrews, 2021",11,2,127,30390,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"death","2BNT","CC","Andrews, 2021-11"
"286","Andrews, 2022",12,2,253,10624,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","subgroup",NA,NA,NA,"symp","2BNT","CC","Andrews, 2022-12"
"287","Andrews, 2022",13,2,3605,13976,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","subgroup",NA,NA,NA,"symp","2BNT","CC","Andrews, 2022-13"
"288","barda, 2021",27,2,179,80925,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"hosp","2BNT","RC","barda, 2021-27"
"289","barda, 2021",28,2,129,80925,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"severe","2BNT","RC","barda, 2021-28"
"290","barda, 2021",29,2,5,80925,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"death","2BNT","RC","barda, 2021-29"
"291","barda, 2021",30,2,6,80925,"16-39yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","2BNT","RC","barda, 2021-30"
"292","barda, 2021",31,2,85,80925,"40-69yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","2BNT","RC","barda, 2021-31"
"293","barda, 2021",32,2,465,80925,"=70yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","2BNT","RC","barda, 2021-32"
"294","barda, 2021",33,2,2,80925,"16-39yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","2BNT","RC","barda, 2021-33"
"295","barda, 2021",34,2,47,80925,"40-69yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","2BNT","RC","barda, 2021-34"
"296","barda, 2021",35,2,362,80925,"=70yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","2BNT","RC","barda, 2021-35"
"297","Bjork, 2022",36,2,8,19088,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","2BNT","RC","Bjork, 2022-36"
"298","Butt-B-2022",67,2,338,236693,"all","all","all","all","all","all","All",NA,NA,NA,NA,NA,NA,"1","0","0","overall","all","all","all","all","all","overall",NA,NA,NA,"symp","2BNT","CC","Butt-B-2022-67"
"299","Butt-B-2022",68,2,74,236693,"all","all","all","all","all","all","All",NA,NA,NA,NA,NA,NA,"1","0","0","overall","all","all","all","all","all","overall",NA,NA,NA,"hosp","2BNT","CC","Butt-B-2022-68"
"300","Collie, 2022",89,2,185,5200,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"hosp","2BNT","CC","Collie, 2022-89"
"301","Frenck, 2021",140,2,1,1006,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","2BNT","RCT","Frenck, 2021-140"
"302","Glatman-Freedman, 2021b",144,2,33,430,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","2BNT","RC","Glatman-Freedman, 2021b-144"
"303","Glatman-Freedman, 2021b",145,2,29,210,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","2BNT","RC","Glatman-Freedman, 2021b-145"
"304","Glatman-Freedman, 2021b",146,2,14,61,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","2BNT","RC","Glatman-Freedman, 2021b-146"
"305","Glatman-Freedman, 2021b",150,2,20,430,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","2BNT","RC","Glatman-Freedman, 2021b-150"
"306","Glatman-Freedman, 2021b",151,2,18,210,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","2BNT","RC","Glatman-Freedman, 2021b-151"
"307","Glatman-Freedman, 2021b",152,2,9,61,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","2BNT","RC","Glatman-Freedman, 2021b-152"
"308","Glatman-Freedman, 2021b",156,2,11,430,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","2BNT","RC","Glatman-Freedman, 2021b-156"
"309","Glatman-Freedman, 2021b",157,2,10,210,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","2BNT","RC","Glatman-Freedman, 2021b-157"
"310","Glatman-Freedman, 2021b",158,2,4,61,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","2BNT","RC","Glatman-Freedman, 2021b-158"
"311","Lopez, 2021",204,2,49,15749,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"symp","2BNT","CC","Lopez, 2021-204"
"312","Lopez, 2021",207,2,122,15749,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"symp","2BNT","CC","Lopez, 2021-207"
"313","martinez-baz, 2021",220,2,176,1658,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","2BNT","PC","martinez-baz, 2021-220"
"314","Nordstrom, 2021-a",228,2,5125,842974,"45-55yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","2BNT","RC","Nordstrom, 2021-a-228"
"315","Olson, 2022",234,2,17,444,"12-18yr","0","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","2BNT","CC","Olson, 2022-234"
"316","Olson, 2022",236,2,2,162,"12-18yr","0","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","2BNT","CC","Olson, 2022-236"
"317","Polack, 2020",242,2,8,18198,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-242"
"318","Polack, 2020",243,2,5,18198,"16-55yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-243"
"319","Polack, 2020",244,2,3,18198,">55yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-244"
"320","Polack, 2020",245,2,1,18198,"=65yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-245"
"321","Polack, 2020",246,2,1,18199,"=75yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-246"
"322","Polack, 2020",247,2,3,18198,"all","all","all","all","all","0",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-247"
"323","Polack, 2020",248,2,5,18198,"all","all","all","all","all","1",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-248"
"324","Polack, 2020",249,2,7,18198,"all","all","all","all","all","all","white",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-249"
"325","Polack, 2020",250,2,1,18199,"all","all","all","all","all","all","black",0,0,0,0,1,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-250"
"326","Polack, 2020",251,2,1,18198,"all","all","all","all","all","all","other",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-251"
"327","Polack, 2020",252,2,3,18198,"all","all","all","all","all","all","hispanic",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-252"
"328","Polack, 2020",253,2,5,18198,"all","all","all","all","all","all","non-hispanic",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-253"
"329","Polack, 2020",254,2,1,18198,"all","all","all","all","all","all","argentinian",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-254"
"330","Polack, 2020",255,2,1,18198,"all","all","all","all","all","all","brazilian",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-255"
"331","Polack, 2020",256,2,6,18198,"all","all","all","all","all","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","2BNT","RCT","Polack, 2020-256"
"332","Poukka, 2021",259,2,162,316650,"17-70yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","2BNT","RC","Poukka, 2021-259"
"333","Powell, 2021",262,2,4,273,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"symp","2BNT","CC","Powell, 2021-262"
"334","Powell, 2021",264,2,76,452,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"symp","2BNT","CC","Powell, 2021-264"
"335","Powell, 2021",266,2,106,5985,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"symp","2BNT","CC","Powell, 2021-266"
"336","Powell, 2021",268,2,534,2797,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"symp","2BNT","CC","Powell, 2021-268"
"337","Pozzetto, 2021",272,2,81,10609,"19-76yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","2BNT","PC","Pozzetto, 2021-272"
"338","Tartof, 2021",305,2,1,6819,"12-15yr","0","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","2BNT","RC","Tartof, 2021-305"
